Title,Title_link,date,Rating,Description_of_duration,authorInfo,Positive_Review,pos_count,Negative_Review,neg_count,UI_TEXT,reviewBodyCell,author_location,authorLocation_current,Outlook,CEO_Approval
"""Falcon Force""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35188578.htm,23 August 2020,5.0,I worked at Walmart full-time,Former Employee - Any Position Available,good canteen good environment and colleagues,1,2 to 3 hours of travel from my place ,0,Helpful,,in New Delhi,New Delhi,,
"""good""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35028633.htm,18 August 2020,5.0,I have been working at Walmart full-time for more than a year,Current Employee - Software Engineer,good in all the ways,1,there are no cons to the company,0,Helpful (1),Recommends,in Bangalore,Bangalore,Positive Outlook,Approves of CEO
"""Awesome""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35146200.htm,21 August 2020,5.0,I have been working at Walmart full-time for more than a year,Current Employee - Manager-Technical,awesome workplace to be here,1,long work hours sometimes in the office,0,Helpful,Recommends,in New Delhi,New Delhi,Positive Outlook,
"""Number brand""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35654393.htm,5 September 2020,2.0,I worked at Walmart full-time for more than 5 years,Former Employee - Marketing Associate,i think walmart in number brand of retail sector,1,i accepts any one challange,0,Helpful,Doesn't Recommend,in Bhopal,Bhopal,Positive Outlook,Approves of CEO
"""Nice company for an fresher""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35368499.htm,27 August 2020,3.0,I worked at Walmart part-time,Former Employee - Web Developer,work culture is very good at wallmart,1,too much work on somedays,0,Helpful,Recommends,in Noida,Noida,Neutral Outlook,No Opinion of CEO
"""Good Company""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35309188.htm,26 August 2020,3.0,I have been working at Walmart full-time for more than a year,Current Employee - Senior Software Engineer,excellent benefits great work culture,1,not much mostly inhouse tools,0,Helpful,Recommends,,,Positive Outlook,Approves of CEO
"""Gr8 work environment""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34827290.htm,12 August 2020,5.0,I have been working at Walmart full-time for more than a year,Current Employee - Team Leader,best ever company for employees,1,hiring process is very lengthy,0,Helpful,Recommends,in Ludhiana,Ludhiana,Positive Outlook,
"""Please read this before joining Walmart Labs India""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34866471.htm,13 August 2020,2.0,I worked at Walmart full-time for more than a year,Former Employee - Software Engineer,although free lunch was provided by many companies  walmart s lunch is a step ahead from others with a wide variety of options  they also provide non veg everyday  but  the food quality has degraded a lot since the time i joined  i don t know whether they are monitoring it or not   the second thing i like the most are inhouse pantry for each floor  they are always stocked up food  drinks etc  we even have xbox in the pantry as well   in summary  anything related to food is good at walmart   those are pros  i would say ,1,first of all  after spending time at walmart i understood that the work experience you get is highly dependent of the team you are going in  unfortunately  i landed in very bad team and my experience was very bad   all the things related to work for me are bad    showing partiality to some people  not recognising the people for their efforts  rewards system was never clear (rewards are always given to people who puts butter to the manager) and to add it all  the managers are the worst   they don't know what the team members are doing   no clarity on what the road map is for future  i am under 3 managers in my tenure  out of these 3 only the last manager was decent enough  the first 2 are horrible i should say  the less i talk about this work  the better it is   and coming to policies  the hr team says they have innovated the policies for covid situation and all   but in reality all they have done add a small clause to the existing    i will give you an example   there was a fitness reimbursement policy of 1500/pm initially when i joined  they converted it to 18000/py (you can use as much as you can but it is limited to 18k per year) and called it innovated   all they have done is lifted the monthly limit  now  after covid wfh situation they said that we can buy a computer chair and all   but in reality that again was included in fitness reimbursement  so  fitness + chiar is 18k per year   how funny it is  it is obvious that no body is going to gym during covid    they just adjusted that amount to chair and calling it innovative  there are many like this   so  in short any thing related to work/policies are horrible for me ,0,Helpful (9),Doesn't Recommend,in Bangalore,Bangalore,Neutral Outlook,Approves of CEO
"""Excellent place to work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34718584.htm,8 August 2020,4.0,I have been working at Walmart full-time,Current Employee - Software Engineer,great learning opportunity  excellent co-workers,1,nothing that i think of currently,0,Helpful,,in Bangalore,Bangalore,,
"""Best Company to Work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34154240.htm,10 July 2020,5.0,I have been working at Walmart full-time for more than a year,Current Employee - Software Engineer,free lunch work from home policy work-life balance ( proper work distribution in the team and most of the ppl leave by 5 pm) great opportunities (ml  blockchain  edge computing  etc ) 6 month clear roadmap great leaders ( i found the best managers here  ) `)  rewards and recognition higher education reimbursement policy  mobile phone reimbursement policy insurance policy docter consultation  lab tests  and glasses/lens reimbursement policy fitness reimbursement policy every year stocks,1,support calls at night ( once in a week) favoritism,0,Helpful (5),Recommends,in Bangalore,Bangalore,Positive Outlook,Approves of CEO
"""Amazing Team, Amazing Culture""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34345949.htm,21 July 2020,5.0,I worked at Walmart full-time for more than a year,Former Employee - Assistant Manager,flexibility  open door policy  work life balance,1,none faced during my employment,0,Helpful (1),Recommends,"in Gurgaon, Haryana","Gurgaon, Haryana",Positive Outlook,Approves of CEO
"""Great company""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34083096.htm,6 July 2020,5.0,I have been working at Walmart full-time,Current Employee - IOS Developer,good infrastructure great diverse teams new age projects,1,nothing that i can think of,0,Helpful,,in Bangalore,Bangalore,,
"""none""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34084863.htm,7 July 2020,5.0,I have been working at Walmart full-time,Current Employee - Software Engineer,best place to work in bangalore,1,i didn't found anything bad,0,Helpful,,"in Gurgaon, Haryana","Gurgaon, Haryana",,
"""Amazing Company to work!!!""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34030046.htm,3 July 2020,5.0,I have been working at Walmart full-time,Current Employee - QA Automation Engineer,well balanced life with working walmart,1,i don’t see anything such,0,Helpful,Recommends,in Bangalore,Bangalore,Positive Outlook,Approves of CEO
"""Good to work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33992637.htm,1 July 2020,4.0,I have been working at Walmart full-time,Current Employee - Senior Architect,relaxed work schedule  good work life balance  ecommerce,1,too big  no one owns accountability  legacy code ,0,Helpful,,in Bangalore,Bangalore,,
"""Good Company to chill out""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33798058.htm,19 June 2020,4.0,I worked at Walmart full-time for more than a year,Former Employee - Senior Statistical Analyst,1  free breakfast and lunch 2  knowledgeable folks 3  no pressure  4  encourages research and kaggale competitions  5  great work and life balance,1,1  no real work 2  no vision for data science  3  no product team is aligned,0,Helpful (2),Recommends,in Bangalore,Bangalore,Positive Outlook,No Opinion of CEO
"""Great place to work!""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33793928.htm,19 June 2020,5.0,I have been working at Walmart full-time for less than a year,Current Employee - Software Engineer III,work life balance  employee benefits  inclusive work environment  empathetic,1,nothing stands out  if employees have any concerns  they can take it up their manager/hrbp and work it out  management listens to its employees  which is a huge plus!,0,Helpful (1),Recommends,in Chennai,Chennai,Positive Outlook,Approves of CEO
"""Computer work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33803763.htm,20 June 2020,5.0,I have been working at Walmart part-time for less than a year,Current Employee - Computer Typing Work,because your company are good,1,nothing else! i trust you,0,Helpful,Recommends,"in Salem, Tamil Nadu","Salem, Tamil Nadu",Neutral Outlook,Approves of CEO
"""Satisfied""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33802754.htm,19 June 2020,4.0,I have been working at Walmart part-time for more than 3 years,Current Employee - Marketing Manager,for future high quality high expensive more benefits high quantity product s,1,less profit 24*7 less share eco friendly minimum benefits loss in marketing,0,Helpful,,in Kollam,Kollam,,
"""Great""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33768714.htm,18 June 2020,5.0,I have been working at Walmart full-time,Current Employee - Senior Software Engineer,its a great place to work,1,can't really think of anything,0,Helpful,,in Chennai,Chennai,,
"""Disgusting work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34356190.htm,21 July 2020,1.0,I worked at Walmart full-time for less than a year,Former Employee - Software Engineer III,nothing except the mac they gave ,1,  i was in scm  they didn't have any meaningfull work     mid level management isn't helpful     tech stack is of 2010s and uses some wierd tools of the yester years    peers aren't intelligent ,0,Helpful (4),Doesn't Recommend,in Bangalore,Bangalore,Negative Outlook,Disapproves of CEO
"""Walmart is greatest company in the world.""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33547823.htm,5 June 2020,5.0,I worked at Walmart full-time for less than a year,Former Employee - MIS Executive,walmart is one of greatest company to work in world  i never seen like walamrt in my working life  there is working environment too much friendly even your vp can you talk good morning if you didn t see them   ceo aslo hand shake to you directly  whenever any company event and other national festival like deepawali  holi  my reporting manager were like an teacher ,1,things only feels guilty because i were not there on roll employee ,0,Helpful (1),Recommends,"in Gurgaon, Haryana","Gurgaon, Haryana",Positive Outlook,
"""Nice""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33563984.htm,7 June 2020,5.0,I worked at Walmart full-time,Former Employee - Store Supervisor,empomant so good and nice salrey,1,nice service and lots mor offer,0,Helpful,Recommends,in Vadodara,Vadodara,Positive Outlook,No Opinion of CEO
"""A place to burn yourself""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34037706.htm,3 July 2020,1.0,I worked at Walmart full-time for more than a year,Former Employee - Software Engineer,- pay is ok - reputation is good,1,  got hired as a college graduate and spent the worst years of my life here    too much favouritism    managers butter the directors/vp openly in meetings    no learning path/ career prospects    treats engineers as labourers ,0,Helpful (11),Doesn't Recommend,in Bangalore,Bangalore,Positive Outlook,No Opinion of CEO
"""Yes""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33375730.htm,26 May 2020,5.0,I have been working at Walmart full-time for more than a year,Current Employee - SDE1,good environment great for learning,1,pressure  tension more pressure more tention,0,Helpful (1),Recommends,"in Gurgaon, Haryana","Gurgaon, Haryana",Positive Outlook,Approves of CEO
"""Best company""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33327051.htm,23 May 2020,5.0,I worked at Walmart full-time for more than 3 years,Former Employee - Assistant Team Leader,best company in the world,1,best company in the world for low cost,0,Helpful,Recommends,in Mumbai,Mumbai,Positive Outlook,
"""Great place to work!""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33229964.htm,18 May 2020,5.0,I have been working at Walmart full-time,Current Employee - Tech Leader,1) using cool tech to solve retail problems at huge scale 2) transforming the future of retail 3) leveraging the power of big data 4) great work culture,1,there is a lot of legacy infrastructure to take care of,0,Helpful (1),Recommends,in Bangalore,Bangalore,Positive Outlook,Approves of CEO
"""One of the top tier companies.""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33277716.htm,20 May 2020,4.0,I have been working at Walmart full-time for more than a year,Current Employee - Data Engineer,good pay package  cutting edge tech stack   committed to employees well being and work life balance  employee friendly culture ,1,development centers in overpopulated banglore and chennai only   should open in north india as well  gurgaon  pune or tier 2 cities could have been great option to open new centers ,0,Helpful,Recommends,in Chennai,Chennai,Positive Outlook,Approves of CEO
"""Walmart - Tech Hub in India""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33005198.htm,4 May 2020,5.0,I have been working at Walmart full-time for more than 5 years,Current Employee - Vice President of Engineering,excellent technical work culture  great benefits  very employee-friendly company and a fun place to work,1,can not think of too many things,0,Helpful (2),Recommends,in Bangalore,Bangalore,Positive Outlook,
"""Great place to learn all about omnichannel retail""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33009648.htm,4 May 2020,5.0,I have been working at Walmart full-time for more than 3 years,Current Employee - Corporate Support Function,fortune one  biggest company in the world  solving great tech problems,1,speed to get things done,0,Helpful (1),Recommends,in Bangalore,Bangalore,Positive Outlook,
"""Developrr""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33075469.htm,7 May 2020,5.0,I worked at Walmart full-time for more than a year,Former Employee - Senior Software Engineer,working atmosphere   good environ and good to learn,1,workload   more working hours  no holiday,0,Helpful,Recommends,in Bangalore,Bangalore,Positive Outlook,
"""Average company""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33556552.htm,6 June 2020,1.0,I worked at Walmart full-time for more than a year,Former Employee - Software Engineer,-company has good pay scale -good people to work with,1,  here   your manager is everything  if you don't agree with your manager he/she will screw you    hrs are brainless fellow  who doesn't have any work and they don't take care of their employees    company's level is degrading  they are hiring in mass with low standard engineers ,0,Helpful (7),Doesn't Recommend,in Bangalore,Bangalore,Negative Outlook,Disapproves of CEO
"""One of the best place to work in India""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33006045.htm,4 May 2020,5.0,I have been working at Walmart full-time for less than a year,Current Employee - Senior Manager HRIS,benefits and culture sets this place apart  who wouldn t want to work at place where the culture is to respect everyone  promote excellence in work and do all this while having a great work life balance and lots of fun!,1,walmart has more than 2 3 million associates and for them to consider walmart labs india as part of family with just ~4000 associates is sometimes difficult  so walmart labs management has worked really hard to ensure that labs is given considerable attention along with global workforce  hats off to the current leadership team  better late than never!,0,Helpful,Recommends,in Bangalore,Bangalore,Positive Outlook,
"""Bad work culture.""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33490093.htm,2 June 2020,1.0,I have been working at Walmart full-time for less than a year,Current Employee - Senior Software Engineer,salary and other usual benefits,1,no work like balance  working hours more than 11 hours every day even weekend   manager is very rude and not capable for leading team  always putting pressure to employees   2  un reachable target for every sprint and no proper vision  3  lot of politics  4 with in 2 month of my joining i faced lot of struggle   5  this is one of the worst place not this is that place   ,0,Helpful (9),Doesn't Recommend,in Bangalore,Bangalore,Neutral Outlook,Approves of CEO
"""Great Place to work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32963598.htm,30 April 2020,4.0,I have been working at Walmart full-time for more than a year,Current Employee - Software Development Engineer,1)good salary 2)great work life balance 3)lot of good techie to work with 4)lot of new techs you get to learn,1,not too open about the ideas,0,Helpful (1),Recommends,in Bangalore,Bangalore,Positive Outlook,Approves of CEO
"""Very good firm""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32900046.htm,27 April 2020,5.0,I worked at Walmart full-time for more than a year,Former Employee - Computer Programmer,i love it is the best,1,i don't think of a con,0,Helpful,Recommends,,,Positive Outlook,Approves of CEO
"""Awesome Company for Freshers""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32873017.htm,24 April 2020,5.0,I have been working at Walmart full-time for less than a year,Current Employee - Software Engineer,it s a good company for freshers  it s one of the top product based companies in the world ,1,no cons  it's a great company ,0,Helpful,Recommends,in Bangalore,Bangalore,Positive Outlook,Approves of CEO
"""Fake don't go for the Brand""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33363988.htm,26 May 2020,1.0,I worked at Walmart full-time for more than a year,Former Employee - Software Engineer,none because there arent any ,1,it is the worst company i have worked for,0,Helpful (6),Doesn't Recommend,in Bangalore,Bangalore,Negative Outlook,
"""Good place to work!!""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32857550.htm,23 April 2020,4.0,I have been working at Walmart full-time for more than 3 years,Current Employee - Senior Software Engineer,new tech stack  values  work life balances,1,pay check  benefits  and internal growth,0,Helpful,Recommends,,,Positive Outlook,Approves of CEO
"""If they pay you, they will get the work out of you""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32694227.htm,11 April 2020,3.0,I have been working at Walmart full-time for more than a year,Current Employee - Software Engineer,- work from home(ofcourse if your manager agrees) - free food - free cab - insurance - mobile handset reimbursement - broadband connection reimbursement - fitness reimbursement,1,  no work life balance    get used to taking night calls   they can ping you anytime in 24 hours   never ending work culture   politics  so  be vocal instead of being tech driven    senior junior discrimination,0,Helpful (10),Doesn't Recommend,in Bangalore,Bangalore,Neutral Outlook,Approves of CEO
"""Excellent Company""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32651988.htm,8 April 2020,5.0,I have been working at Walmart full-time for more than 3 years,Current Employee - Senior Software Engineer,1 high pay and high increment  2  excellent benefits and sparks  3  good work life balance 4  huge support on innovation,1,1  growth / promotion is time consuming 2  not easy to move projects   outside of india,0,Helpful (2),Recommends,in Bangalore,Bangalore,Positive Outlook,Approves of CEO
"""Best company that i've worked for""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32652424.htm,8 April 2020,5.0,I have been working at Walmart full-time for more than a year,Current Employee - Social Media Manager,technology  leadership  culture  policies  activities,1,can't think of any,0,Helpful (1),Recommends,in Bangalore,Bangalore,Positive Outlook,Approves of CEO
"""Bad company to work for""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33150661.htm,13 May 2020,1.0,I have been working at Walmart full-time for more than a year,Current Employee - Engineer,good employee friendly policies  good salary  free food  free cab,1,bad teams  bad culture  someone rightly said it is a company who competes with amazon but has no work culture  the culture is same as a service based company  directors/sr  managers don't even know what they are doing  blame game and favouritism at the top  all talent is wasted in the company ,0,Helpful (7),Doesn't Recommend,in Bangalore,Bangalore,Negative Outlook,Disapproves of CEO
"""Good company""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32870418.htm,24 April 2020,3.0,I have been working at Walmart full-time,Current Employee - Anonymous Employee,good learning and good perks,1,no cons as such so far,0,Helpful,,,,,
"""It was great""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32634841.htm,7 April 2020,4.0,I worked at Walmart part-time,Former Employee - Photo Editor,they were giving excellent services and money at time,1,not providing proper equipment for working,0,Helpful (1),Recommends,"in Mathura, Uttar Pradesh","Mathura, Uttar Pradesh",Neutral Outlook,Approves of CEO
"""Pharmacy team review""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW33066034.htm,7 May 2020,1.0,I have been working at Walmart full-time for more than a year,Current Employee - Software Engineer-III,1  good facilities - free food  free cab  year end gift  team outings  fun activities  2  some really good people to work with  they are good both technically and behaviorally  3  good learning for the first few months after you join  4  good salary  5  work life balance(depends on team),1,1  no work life balance(depends) 2  some very arrogant people who have no respect for others  3  too much politics/favouritism  if you are somebody's favorite you will get good work  good visibility and good hike   4  more than the quality of work what matters is  a  if you can respond to slack messages at nights(very important) just to show you are online   b  your interaction with senior folks like senior managers  managers or architects even if you are not reporting to them directly (just to suck up)  5  after few months of work there isn't much to learn  it's the same repetitive work  6  forced bell curve  7  lot of blame game     my advice  if you are a candidate who feel your work should matter the most don't join pharmacy team  but if you are a person for whom other things matter more then welcome aboard ,0,Helpful (12),Doesn't Recommend,in Bangalore,Bangalore,Neutral Outlook,No Opinion of CEO
"""No Work life balance and very poor management""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32675600.htm,10 April 2020,2.0,I have been working at Walmart full-time for more than a year,Current Employee - SDE3,good pay but still below the industry level,1,poor management  no work life balance you are expected to work 16 hours a day   nothing much to learn expect the production bug fixes,0,Helpful (6),Doesn't Recommend,in Bangalore,Bangalore,Negative Outlook,Disapproves of CEO
"""Good work opportunities""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32675092.htm,9 April 2020,2.0,I have been working at Walmart full-time for more than a year,Current Employee - Senior Software Engineer,challenging work in terms of technology  scale  great engineers,1,process and planning is broken ,0,Helpful (2),Doesn't Recommend,in Bangalore,Bangalore,,
"""I am working in walmart as a senior associate in receiving department last 2 year and worked also as a PROMOTER on floor""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32506741.htm,27 March 2020,5.0,I have been working at Walmart full-time for more than 3 years,Current Employee - Associate,this is the best company of retail sector ,1,gaining many kind of knowledge ,0,Helpful,Recommends,in Meerut,Meerut,Neutral Outlook,Approves of CEO
"""Data scientist""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32468359.htm,24 March 2020,5.0,I worked at Walmart full-time,Former Employee - Anonymous Employee,culture respect for individual ethics,1,internal politics among the employees and management,0,Helpful,,,,,
"""Marketing""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32371059.htm,15 March 2020,5.0,I have been working at Walmart full-time for more than 3 years,Current Employee - Marketing Executive,want to give best n interact with new peoples,1,good  environment all thing is clear ,0,Helpful,Recommends,in Hyder?b?d,Hyder?b?d,Positive Outlook,Approves of CEO
"""great""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32365532.htm,14 March 2020,4.0,I worked at Walmart full-time,Former Employee - Consultant,great & amazing and good place to work,1,nothing cons amazing place to work,0,Helpful,,"in Gurgaon, Haryana","Gurgaon, Haryana",,
"""RPA developer""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32245623.htm,6 March 2020,5.0,I have been working at Walmart full-time for more than 5 years,Current Employee - Senior Analyst,great employee friendly organisation and awesome culture,1,not applicable as i found it very good,0,Helpful,Recommends,,,Positive Outlook,Approves of CEO
"""Walmart labs review""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32238934.htm,6 March 2020,5.0,I have been working at Walmart full-time for more than a year,Current Employee - Senior Software Engineer,awesome work life balance   good career growth,1,nothing so far   everything seems good,0,Helpful,Recommends,in Bangalore,Bangalore,Positive Outlook,Approves of CEO
"""Pathetic Company""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW31773769.htm,9 February 2020,5.0,I have been working at Walmart full-time,Current Employee - Java Developer,not good company    work culture  is very bad ,1,work culture is not good   i was working aura building  5th floor   no support  nothing   even i used to worked in weekend also  manager  is very  bad ,0,Helpful (7),Doesn't Recommend,in Bangalore,Bangalore,Negative Outlook,Disapproves of CEO
"""Lots of uncertainty in company""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32408031.htm,18 March 2020,3.0,I have been working at Walmart full-time for more than 3 years,Current Employee - Senior Executive,salary and benefits salary and benefits,1,uncertainty              ,0,Helpful,Recommends,,,Negative Outlook,Approves of CEO
"""Worst Experience with HR working in Walmart""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32593933.htm,3 April 2020,1.0,I have been working at Walmart full-time for less than a year,Current Employee - Senior Software Engineer,walmart has good brand name but because of few people which is getting ruined,1,hr doesn't know how to behave with the prospect employer of their company  people are rude ,0,Helpful (6),Doesn't Recommend,in Bangalore,Bangalore,,
"""Great company !""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32144855.htm,1 March 2020,4.0,I have been working at Walmart full-time for less than a year,Current Employee - Software Engineer,good worklife balance cab facility good package free food,1,too much hierarchy     bell curve,0,Helpful,Recommends,in Bangalore,Bangalore,Positive Outlook,Approves of CEO
"""Decent Company, Sub-par salary, great benefits""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW32203457.htm,4 March 2020,3.0,I have been working at Walmart full-time for more than 3 years,Current Employee - Software Engineer,the benefits provided are good - free lunch  cab/shuttles  internet and phone reimbursements  gym/fitness reimbursements  an always stuffed pantry  work life balance is good ,1,quality of work greatly depends on the team and the market for which you are working  pay growth is not competitive for someone working here for >2 years  work becomes repetitive after some time ,0,Helpful (4),Doesn't Recommend,in Bangalore,Bangalore,Positive Outlook,Approves of CEO
